system:index,elevation,zone_id,.geo
00000000000000000000_0,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.50505186865627,2.9061343806436497]}"
00000000000000000001_0,8,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.5142146845543,2.9061343806436497]}"
00000000000000000002_0,8,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.52310800586707,2.9061343806436497]}"
00000000000000000003_0,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.5320013271799,2.9061343806436497]}"
00000000000000000004_0,6,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.54116414307788,2.9061343806436497]}"
00000000000000000005_0,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.55005746439065,2.9061343806436497]}"
00000000000000000006_0,9,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.55895078570347,2.9061343806436497]}"
00000000000000000007_0,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.56811360160145,2.9061343806436497]}"
00000000000000000008_0,13,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.57700692291428,2.9061343806436497]}"
00000000000000000009_0,23,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.58590024422705,2.9061343806436497]}"
0000000000000000000a_0,18,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.59506306012509,2.9061343806436497]}"
0000000000000000000b_0,19,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.60395638143785,2.9061343806436497]}"
0000000000000000000c_0,11,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.61284970275062,2.9061343806436497]}"
0000000000000000000d_0,5,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.62201251864866,2.9061343806436497]}"
0000000000000000000e_0,16,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.63090583996143,2.9061343806436497]}"
0000000000000000000f_0,27,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.6397991612742,2.9061343806436497]}"
00000000000000000010_0,34,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.64896197717223,2.9061343806436497]}"
00000000000000000011_0,35,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.657855298485,2.9061343806436497]}"
00000000000000000012_0,16,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.66674861979783,2.9061343806436497]}"
00000000000000000013_0,19,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.67591143569581,2.9061343806436497]}"
00000000000000000014_0,15,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.68480475700858,2.9061343806436497]}"
00000000000000000015_0,89,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.6936980783214,2.9061343806436497]}"
00000000000000000016_0,20,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.70286089421938,2.9061343806436497]}"
00000000000000000017_0,34,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.71175421553221,2.9061343806436497]}"
00000000000000000018_0,38,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.72064753684498,2.9061343806436497]}"
00000000000000000019_0,21,26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.72981035274302,2.9061343806436497]}"
0000000000000000001a_0,54,27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.73870367405578,2.9061343806436497]}"
0000000000000000001b_0,11,28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.74759699536855,2.9061343806436497]}"
0000000000000000001c_0,71,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.75675981126659,2.9061343806436497]}"
0000000000000000001d_0,28,30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.76565313257936,2.9061343806436497]}"
0000000000000000001e_0,49,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.77454645389213,2.9061343806436497]}"
0000000000000000001f_0,35,32,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.78370926979017,2.9061343806436497]}"
